,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
494,By the volume tube how much carbon dioxide. The more carbon dioxide the more sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
495,Whichever bag has the highest recording has the most sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
496,She will know because one bag will be different.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
497,If how much carbon dioxide there is in the volume tube.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
498,The food with most carbon dioxide has the most sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
499,Susan will know which food contains the most sugar seeing which one has the most carbon dioxide.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
500,The bag with the most carbon dioxide has the most sugar in it.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
501,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.",Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
502,When the timer stop for 10 minutes put the baggie into the volume tube to see which food had the most sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
503,She will know which one has the most sugar by measuring the volume and if the food has a lot of sugar. You will see it because it will have a lot of carbon dioxide in the bag.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
504,She will know how much sugar does one have by looking at the bags. If one has a lot of air then that one produces more sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
505,The yeast will react and the bag is going to fill up with and measure it with air and measure it with a volume measure.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
506,The one that has the most sugar is inflated and fat.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
507,I will have big grease stain.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
508,The more sugar the more carbon dioxide and the more carbon dioxide the bigger the volume.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
509,Maybe by using the value shared.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
510,Compare the bags and see which one has the most gas in the bag. The one that has the most has the most carbohydrates or sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
511,"The more air in the bag, the more sugar.",Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
512,"Compare the bags to see which bag has more carbon dioxide in it 50, the more carbon dioxide in the bag the more sugar the food has.",Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
513,She would know by the volume tube.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
514,The more carbon dioxide the more sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
515,Whichever one has the most carbon dioxide in the baggy has the most carbohydrates.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
516,Whatever has the most milliliters of poop will have the most sugar.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
517,The one without the fat spot.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
518,Whichever food item has the highest number. The highest one is the one with more sugar in it.,Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",incorrect
519,"There will be more, bubbles, gas than the other.",Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.,"The food that has the most, carbon dioxide, carbon dioxide has the most sugar.","There will be more, bubbles, gas than the other.",correct
520,"No, because with pure sugar is higher than 200 milliliters and Fruity Cream cookies is 150 milliliters.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
521,They are not pure sugar. My evidence is pure sugar has 200 milliliters. They only have 150.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
522,I think yes and no because cookies are not just pure sugar they are sweet as well so they do have sugar but not a whole lot of sugar.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
523,Fruity Cream cookies is not pure sugar because it would be as high as the volume tube with pure sugar.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
524,No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
525,"No, they are not pure sugar because the pure sugar is 200 milliliters and the cookie Is 150 milliliters.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
526,"No, Fruity Cream cookies have 150 milliliters of carbon dioxide and pure sugar has 200 milliliters carbon dioxide.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
527,"No but they do have sugar. If it was pure sugar, it would be 200 milliliters not 150 milliliters like it is.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
528,No because the experiment tells so cookies have 150 while sugar has 200.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
529,No because they had less carbon dioxide than the pure sugar did.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
530,"Fruity Cream cookies are not pure sugar because if it was pure sugar, it would be just like the pure sugar in other tube.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
531,Fruity Cream cookies are not pure sugar. I know this because if the Fruity Cream cookies were pure sugar the volume tube would read the same.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
532,The Fruity Cream is not pure sugar because the cookie amount of milliliters does not meet the amount of milliliters in pure sugar.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
533,Finally Cream cookies are not pure sugar I know that because.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
534,No because on the diagram it shows pure sugar is more than Fruity Cream cookies.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
535,No Fruity Cream cookies are not pure sugar because it is fruity. Fruity means it is fruit.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
536,Yes because Fruity Cream cookies have sugar.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
537,They are almost pure sugar because they column tube on the left is above 200 milliliters and the one on the right is below.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
538,"No, because they have less carbon dioxide than pure sugar.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
539,"No, Fruity Cream is not pure sugar the chart says that the cookies are at 150 milliliters and pure sugar is 200 milliliters.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
540,"Fruity Cream cookies are pure sugar, because the volume tube tells if it has sugar and it has sugar because it is sweet.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
541,"No, because on the top it has the name of the cookies and it shows how much sugar it has in it.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
542,"No, because there is fruit and fruit does not have that much sugar.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
543,"No, because the pictures on the right show you that the cookies have less.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
544,"Yes, my evidence is that Diva's father said that they were pure sugar.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
545,"No, Fruity Cream cookies are not pure sugar because if you compare it the cookies are not the same mass.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
546,"No, Fruity Cream cookies are not pure sugar because they are not 4 grams.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
547,No they are not pure sugar if it was it would pass 350 milliliters.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
548,"No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
549,"No, Fruity Cream cookies is not pure sugar because pure sugar is 200 milliliters and Fruity Cream cookies is less than 200 milliliters.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
550,"No, Fruity Cream cookies are not pure sugar. My evidence was, pure sugar result were 200 milliliters and the cookies were 150.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
551,"No, they are not put sugar because when she put the cookies in the volume measure it was not to the highest number.","No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
552,Fruity Cream cookies have a lot of pure sugar and the cream cookies have less sugar.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
553,Fruity Cream cookies are not pure sugar and my evidence is that pure sugar is 200 milliliters but Fruity Cream cookies is only 150 milliliters.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,correct
554,Yes because cookies has a lot of sugar in it.,"No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.","No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters.",No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.,incorrect
555,Diva needed to test pure sugar so that she could make sure Fruity Cream cookies did not have as much carbon dioxide as pure sugar to see if her dad was wrong.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
556,Diva needed to test pure sugar because that is how much she is eating with the cookies. So it is not good to have too much or else she will have diabetes.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
557,Susan will know which food contains the most sugar when the tube with bag inside can stop all the way to the top.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
558,"Tube, warm water 50 milliliters, 40 to 50 bag syringe, yeast, tube, testing food, measuring utensils.",Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
559,Diva needed to test pure sugar so he know if the cookies was pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
560,Because her dad said the cookies were pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
561,Because Diva's dad said they were pure sugar and so Diva investigated both to see what one had more sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
562,So she could prove that cream fruit cookies had less than pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
563,To see if it as in the cookies was exactly pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
564,"A volume tube, yeast, water, and a warm bath.",Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
565,To compare pure sugar and Fruity Cream cookies.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
566,The one with the most carbon dioxide in the volume tube has the most sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
567,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
568,To see if pure sugar was the same as Fruity Cream cookies.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
569,Because she wanted to know how much sugar it has.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
570,"She needed to test the pure sugar because she needed a controlled variable because if she did not, she would not know how much sugar is in sugar and she cannot compare the cookies and the sugar.",Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
571,So she could compare the results and see if they are the same.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
572,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
573,To see what Fruity Cream cookies percentage from real sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
574,Because her dad does not want to eat that much sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
575,She needed to test pure sugar to find out if Fruity Cream Cookies are pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
576,To see how much sugar it really has.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
577,To see which one has the more sugar to compare with the Fruity Cream cookies.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
578,She tested pure sugar because she needed something to go against with the cookies.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",correct
579,To see what has more sugar than Fruity Cream cookies.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
580,She needed to compare if Fruity Cream cookies is pure sugar.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
581,She needed to test pure sugar because then there would be nothing to compare with.,Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.,Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.,"Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.",incorrect
